,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,Águias Cup 26,,,
,,,,,
,,SUB10 – 03 de abril de 2026,,,
,,Grupo A,Grupo B,,
,,CD Águias de Alpiarça A,CD Águias de Alpiarça B,Equipa 1,
,,Estrela FC Ouriquense,Clube Atlético Riachense,Equipa 2,
,,EF Tomar,Grupo União Sport Montemor-o-Novo,Equipa 3,
,,Clube Atlético Cadaval,CAAF Atlântico,Equipa 4,
,Campo 1,CD Águias de Alpiarça A,Estrela FC Ouriquense,,09H00-09H30
,,EF Tomar,Clube Atlético Cadaval,,09H40-10H10
,,CD Águias de Alpiarça A,EF Tomar,,10H20-10H50
,,Estrela FC Ouriquense,Clube Atlético Cadaval,,11H00-11H30
,,CD Águias de Alpiarça A,Clube Atlético Cadaval,,11H40-12H10
,,EF Tomar,Estrela FC Ouriquense,,12H20-12H50
,,3ºLugar-Grupo A -Liga Prata,4ºLugar-Grupo B Liga Prata,,15H00-15H30             Jogo 1
,,1ºLugar-Grupo A - Liga Ouro,2ºLugar-Grupo B - Liga Ouro,,15H40-16H10             Jogo 1
,,Vencidos Liga Ouro Jogo1,Vencidos Liga Ouro Jogo 2,,16H20-16H50
,,Vencendor Liga Ouro Jogo 1,Vencendor Liga Ouro Jogo 2,,17H00-17H30
,Campo 2,CD Águias de Alpiarça B,Clube Atlético Riachense,,09H00-09H30
,,Grupo União Sport Montemor-o-Novo,CAAF Atlântico,,09H40-10H10
,,CD Águias de Alpiarça B,Grupo União Sport Montemor-o-Novo,,10H20-10H50
,,Clube Atlético Riachense,CAAF Atlântico,,11H00-11H30
,,CD Águias de Alpiarça B,CAAF Atlântico,,11H40-12H10
,,Grupo União Sport Montemor-o-Novo,Clube Atlético Riachense,,12H20-12H50
,,3ºLugar-Grupo B - Liga Prata,4ºLugar-Grupo A - Liga Prata,,15H00-15H30             Jogo 2
,,1ºLugar-Grupo B - Liga Ouro,2ºLugar-Grupo A - Liga Ouro,,15H40-16H10            Jogo 2
,,Vencidos Liga Prata Jogo1,Vencidos Liga Prata Jogo 2,,16H20-16H50
,,Vencendor Liga Prata Jogo 1,Vencendor Liga Prata Jogo 1,,17H00-17H30
,Entrega de Prémios ,,,,17H40
,,Grupo A joga na 1º Fase no campo 1,Grupo B joga na 1º Fase no campo 2,,
